"asset_id","report_id","title","type","package_file","source_data","generator_or_model","software","input_sha256","output_sha256","status","notes"
"FIG_1-1","图1-1","2015-2025年四旋翼控制研究年度论文量与主题演化","figure","05_visuals/assets/report_final_20260816/FIG_1-1.png","05_visuals/assets/report_sources/data/FIG_1-1__openalex_control_works_2015_2025.csv;05_visuals/assets/report_sources/data/FIG_1-1__openalex_query_protocol.json","08_provenance/report_generation_sources/scripts/chapter1_figures.py","Python/Matplotlib","D9B223355EBD6D58CFD09CC2D9240191BC40385739EF7E6D62C140FBC33BA174;792D72D7F371E865257EF11716C0DEECEEC68335DCDEE94E19E890BA8A8280DB","183640445BCBED1C692FB90B7FBAC15A4B7E27EA71BEE303A111C29CF57632E9","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_2-1","图2-1","官方四旋翼仿真系统组成与信号流","figure","05_visuals/assets/report_final_20260816/FIG_2-1.png","01_models/official/QuadrotorModel/package.mo","08_provenance/report_generation_sources/scripts/chapter2_visio.ps1","Microsoft Visio/PowerShell","B39A8B23665A3B05CF3FAD406744021F0E65541A02D1EF052D2BD10BA7E76352","A92A180E1556CC60B641DD4373C6B488309255593134A55BA93F594DD5D0CC75","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_2-2","图2-2","赛题PID的级联控制与四电机混控结构","figure","05_visuals/assets/report_final_20260816/FIG_2-2.png","01_models/official/QuadrotorModel/package.mo","08_provenance/report_generation_sources/scripts/chapter2_visio.ps1","Microsoft Visio/PowerShell","B39A8B23665A3B05CF3FAD406744021F0E65541A02D1EF052D2BD10BA7E76352","28AEE5C9B095E369671760F5A20E853F92FB6EC30D9BA626F0E5FE75D6AC3F62","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_2-3","图2-3","赛题PID三轴独立阶跃响应","figure","05_visuals/assets/report_final_20260816/FIG_2-3.png","05_visuals/assets/report_sources/data/FIG_2-3__chapter2_pid_plot_data.csv;05_visuals/assets/report_sources/data/FIG_2-3__chapter2_pid_baseline_metrics.csv;05_visuals/assets/report_sources/data/FIG_2-3__chapter2_pid_baseline_audit.json","08_provenance/report_generation_sources/scripts/chapter2_pid_plot.py;08_provenance/report_generation_sources/scripts/chapter2_pid_audit.jl","Syslab/Python/Matplotlib","53E985679C9A16F6CA8F8CF115E14346F36A6CC9276984A9CBD8ECDF4EF43948;4A1D492995C9370B008BCB51E2DD43F45057849522286C4334010D0546287318;DF0C547B78750017994EACF1B04ADB3F8C7460C1DC2028768773A7FBA690D8BF","3F51D659357EA21CA4752634755FA601B22F108B7E0F65F1D4D046B7AAF65482","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_3-1","图3-1","ARDG-RGPC控制主链、角残差补偿支链与安全旁路","figure","05_visuals/assets/report_final_20260816/FIG_3-1.png","08_provenance/machine_contract/MAIN_ALGORITHM_FROZEN.json","08_provenance/FIGURE_ROUND3_BUILD_RECORD.json;Python + Matplotlib","Python/Matplotlib","35988632C341875C7326DBB7D5899127306A7A5B768F7D682FD956DB3DA14048","F2602C7912F7571B8A66F549C46CD9AFE9A43E41C00FB411A19292BE33C07EA7","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_3-2","图3-2","ARDG-RGPC与Sysplorer四旋翼物理模型的顶层连接关系","figure","05_visuals/assets/report_final_20260816/FIG_3-2.png","01_models/modelica/A8RAGCACGHTEPlant20260715/package.mo","01_models/modelica/A8RAGCACGHTEPlant20260715/package.mo","MWORKS Sysplorer 2026a","54757EBABF451017D9651893F192B2276A5A0106A5281DBAE2DC85CA9959D617","A80662979CB86D00D80A21C9E4AD47DDDF00BAAE4FB9D78F225801C9B17B83D3","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_4-1","图4-1","ARDG-RGPC三机编队参考与PP-CBF分层安全结构","figure","05_visuals/assets/report_final_20260816/FIG_4-1.png","01_models/sysblock/formation/A8FormalFormationPredictiveCBFV5C_20260712.mo;06_supplementary_evidence/ardg_rgpc_formation_final/raw/Scene07B.csv","08_provenance/FIGURE_ROUND3_BUILD_RECORD.json;Python + Matplotlib","Python/Matplotlib/MWORKS Sysblock","FA47DF1C51D5656D14F372929B95AE16321B8E28878ED5931364CEFBBF7336BD;6AE3A2EE275338294D18FD6A61EA332AD35F1476F174564AC90B9EC7779691CD","83C25AFCE1781A27D0C63814C2BB9805AD40DE1E7058760FEC709A7628D68944","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_5-1","图5-1","代表性任务的参考输入","figure","05_visuals/assets/report_final_20260816/FIG_5-1.png","06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01.csv;06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene02.csv;06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene03.csv","08_provenance/report_generation_sources/scripts/chapter5_figures.py","Python/Matplotlib","061C136D4A2ACBDE47459E4983377728B09FA7369FB736C656221265A29D0D08;4AB9B32E00C1896D5DD321DC9B8EAD8E18ED5F5E21AC001285FC6B73832C4BF9;FDAD5B4909F97C712689321B8689E9BBECB6D42211F5845580F6BE1C9F856307","6A5997D1CF5033160326890B9E9F23BAB29455BF9BD67523BE7C7111A0DF4F20","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_5-2","图5-2","参数变化设计点与三事件单旋翼外力输入","figure","05_visuals/assets/report_final_20260816/FIG_5-2.png","06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene06b.csv;02_scripts/sysplorer/run_main_controller.py","08_provenance/report_generation_sources/scripts/chapter5_figures.py","Python/Matplotlib","82C57F8C2B4938D6907BC6F82B765851270C5C524C8B93FC84A3EC1D024DF511;B0CAC1FBA176604C7D4FDA0CCEF5A03654765B6E23AC8C17C01E25E17584ED81","1204BE5C8FD1D8B8B1A1BA95FB7C9F9F5596F998E578B44B9264FC3691844E98","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_5-3","图5-3","仿真数据处理与结果分析流程","figure","05_visuals/assets/report_final_20260816/FIG_5-3.png","05_visuals/assets/report_sources/data/FIG_5-3__chapter5_data_lineage.csv","08_provenance/report_generation_sources/scripts/chapter5_figures.py","Python/Matplotlib","9C29D1EF0EB7F79948B1C593087F2B8B49AAE2115F9434FFD780202E5C05C7DE","98A1E141C34F8EFD7551BFF254CF8F826F3E1CFDC91D697F50C5A02E796CD153","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_6-1","图6-1","官方PID与ARDG-RGPC的三轴独立阶跃响应及超调量","figure","05_visuals/assets/report_final_20260816/FIG_6-1.png","05_visuals/assets/report_sources/data/FIG_6-1__figure_6_1_step_timeseries.csv","08_provenance/report_generation_sources/scripts/chapter6_figures.py","Syslab/Python/Matplotlib","B511A935DBA5D3B80F715276A3550883F52870AD04B41B0C7B9AD0823885E269","F8EDB4BEA8C655BC2580473D49C87833264B747C403AAE14C81D1FE47AE63B13","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
"FIG_6-2","图6-2","官方PID与ARDG-RGPC的分段爬升和定点悬停位置误差","figure","05_visuals/assets/report_final_20260816/FIG_6-2.png","05_visuals/assets/report_sources/data/FIG_6-2__figure_6_2_step_hover_timeseries.csv","08_provenance/report_generation_sources/scripts/chapter6_figures.py","Syslab/Python/Matplotlib","16E654AFF0A724871CB4E2C799E8BFC213E014A073983863EC854427A6BC2123","378BB6CA73550FC4DF73F6F95C7EC22290C41D4006A91600702E71639446A1FA","admitted","最终报告编号图；源数据、图件哈希与版式已核对。"
