claim_id,claim_zh,status,report_evidence,raw_or_direct_evidence,metric_script,boundary_zh
C01,ARDG-RGPC在三轴标准阶跃中保持低超调,supported,04_results/report_evidence/02_standard_step_pid_vs_main.csv,06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01S_X.csv;06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01S_Y.csv;06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene01S_Z.csv,02_scripts/evaluation/build_report_evidence.py,PID超调量采用赛题官方参考指标；ARDG-RGPC由最终raw复算
C02,五种控制对象在四个公共单机场景中完成同指标比较,supported,04_results/report_evidence/03_five_controller_common_scenes.csv,06_supplementary_evidence/ardg_rgpc_regression18_final/raw;04_results/report_evidence/official_pid_scene06b/raw.csv,02_scripts/evaluation/build_report_evidence.py,辅助算法只用于已有公共场景，不外推为全场景排名
C03,11项预设参数工况中6项改善、5项基本等效,supported,04_results/report_evidence/05_parameter_11_robustness.csv,06_supplementary_evidence/ardg_rgpc_parameter11_final,02_scripts/evaluation/build_report_evidence.py,结论限定于已登记的几何控制基线与相同工况
C04,20组随机参数中ARDG-RGPC相对官方PID为20胜0负,supported,04_results/report_evidence/parameter_random20_ardg_rgpc_final/statistical_summary.json,06_supplementary_evidence/parameter_random20_raw/PID;06_supplementary_evidence/ardg_rgpc_random20_final/cases,02_scripts/evaluation/analyze_parameter_random20_final.py,仅适用于冻结随机范围、场景和样本清单
C05,三事件外力扰动中位置RMSE低于官方PID,supported,04_results/report_evidence/07_scene06b_pid_comparison.csv,04_results/report_evidence/official_pid_scene06b/raw.csv;06_supplementary_evidence/ardg_rgpc_regression18_final/raw/Scene06b.csv,02_scripts/evaluation/build_report_evidence.py,结论限定于Scene06b同场景、同指标比较
C06,两个机体系角扰动场景完成ARDG-RGPC与官方PID同场景对照,supported,04_results/report_evidence/08_angular_disturbance_response.csv,05_visuals/final_shared_assets/data/BODY_ROLL_POS_ARDG-RGPC.csv;05_visuals/final_shared_assets/data/BODY_PITCH_NEG_ARDG-RGPC.csv;04_results/report_evidence/official_pid_angular,02_scripts/evaluation/build_report_evidence.py,官方PID在短时角脉冲下姿态与位置误差更低；ARDG-RGPC电机TV更低，结论仅限两个登记场景
C07,18项代表性回归场景均形成最终算法直接结果,supported,04_results/report_evidence/06_regression18_metrics.csv;04_results/report_evidence/06_regression18_summary.json,06_supplementary_evidence/ardg_rgpc_regression18_final,02_scripts/evaluation/build_report_evidence.py,只报告最终算法绝对结果和已登记对照
C08,PP-CBF开启后近距离风险暴露降为0秒,supported,04_results/report_evidence/09_formation_pp_cbf.csv,06_supplementary_evidence/ardg_rgpc_formation_final/raw,02_scripts/evaluation/build_report_evidence.py,PP-CBF是独立上层安全监督器，单机控制器为ARDG-RGPC
C09,约束多目标参数搜索形成可追溯最终参数,supported,04_results/report_evidence/04_parameter_optimization_summary.csv,05_visuals/final_shared_assets/FINAL_ASSET_INDEX.json,02_scripts/evaluation/build_report_evidence.py,不使用加权总分，不宣称全局最优
C10,六组复合参数与外扰测试均由ARDG-RGPC直接运行并通过物理检查,supported,04_results/report_evidence/10_compound_stress_final.csv,06_supplementary_evidence/ardg_rgpc_compound_final,02_scripts/evaluation/build_report_evidence.py,结论限定于六组登记参数组合、轨迹和三次外扰事件
